Slno,tradeName,NCO,ServiceType
771,Stone Mason,951.1,ARMY
772,Brick Layor Construction,951.2,ARMY
773,Blacksmitch,831.1,ARMY
774,Police Constable,571.3,ARMY
775,Inspector of Police (JCO),571.1,ARMY
776,Moulder,725.1,ARMY
777,Oiler and Greaser,963.1,ARMY
778,Radar Operator,392.7,ARMY
779,Washing Machine Operator,550.2,ARMY
780,Drying Machine Operator,550.3,ARMY
781,Calenderar Saris,551.7,ARMY
782,Dry Cleaner,551.2,ARMY
783,Fork lift Truck Operator,974.55,ARMY
784,Tyre Repairer,903.6,ARMY
785,Moulder Rubber Tube,903.7,ARMY
786,Tyre Moulder,903.4,ARMY
787,Tube and Tyre Fitter,903.65,ARMY
788,Painter,932.1,ARMY
789,Painter Wood Work & Furniture,939.2,ARMY
790,Painter Building,931.1,ARMY
791,Painter Steel Structure,931.2,ARMY
792,Line and Platelayer,985,ARMY
793,Postman,380.1,ARMY
794,Dak Peon,381.3,ARMY
795,Record Lifter,358.9,ARMY
796,Daftry,358.1,ARMY
797,Sorter Mail,389.4,ARMY
798,Jop Printer,921.1,ARMY
799,Compositor Hand,921.2,ARMY
800,Impositor,921.3,ARMY
801,Hand Pressman,923.1,ARMY
802,Hand Printing Machineman,923.2,ARMY
803,Harness Maker,803.1,ARMY
804,Saddler,803.2,ARMY
805,Wood Sawyer,732.1,ARMY
806,Wood Machinist,813.1,ARMY
807,Wood Turner,813.15,ARMY
808,Planer Wood,813.35,ARMY
809,Band Saw Operator,732.25,ARMY
810,Cross cut saw operator,732.4,ARMY
811,Circular saw operator,732.3,ARMY
812,Riding Instructor,193.5,ARMY
813,Stevedore,971.1,ARMY
814,Slinger,972.2,ARMY
815,Winch Operator,973.65,ARMY
816,Splicer Cables,972.3,ARMY
817,Lascar,981.4,ARMY
818,Tinsmith,873.5,ARMY
819,Brazer,872.5,ARMY
820,Points Jamadar Railway,985.3,ARMY
821,Pointsman Railway,985.3,ARMY
822,Signalman,985.1,ARMY
823,Traffic Shunter Railway,985.4,ARMY
824,Uholsterer,796.1,ARMY
825,Cushion Maker,796.4,ARMY
826,Barber,560.2,ARMY
827,Baker Bread,777.1,ARMY
828,Carpenter,811.1,ARMY
829,Horse Carriage Driver,987.1,ARMY
830,Cart Driver,987.2,ARMY
831,Pack Animal Driver,987.4,ARMY
832,Animal Trainer,189.55,ARMY
833,Mail Guard RMS,379.1,ARMY
834,Packer Bags,976,ARMY
835,Painter Hand,939.1,ARMY
836,Painters Mate,939.5,ARMY
837,Leather Cutter Hand,722.2,ARMY
838,Stitcher Hand,722.2,ARMY
839,Sweeper,541.1,ARMY
840,Tailor,791.1,ARMY
841,Trouser Maker,791.4,ARMY
842,Shirt Maker,791.5,ARMY
843,Tailor Cutter,799.5,ARMY
844,Sewing Machine Operator,795.15,ARMY
845,Waiter,521.4,ARMY
846,Butlers,521.9,ARMY
847,Dhobi,550.1,ARMY
848,Priest,190.1,ARMY
