,,Name Of Organization :,,,,,,,
S_Id,D_Id,Sno.,StateName,District Name,Number of volunteers/ workers,Name of District Nodal Officer,Designation,MobileNo,Emailid
9,162,661,UTTAR PRADESH,LUCKNOW,,,,,
9,164,662,UTTAR PRADESH,MAHARAJGANJ,,,,,
9,165,663,UTTAR PRADESH,MAHOBA,,,,,
9,166,664,UTTAR PRADESH,MAINPURI,,,,,
9,167,665,UTTAR PRADESH,MATHURA,,,,,
9,168,666,UTTAR PRADESH,MAU,,,,,
9,169,667,UTTAR PRADESH,MEERUT,,,,,
9,170,668,UTTAR PRADESH,MIRZAPUR,,,,,
9,171,669,UTTAR PRADESH,MORADABAD,,,,,
9,172,670,UTTAR PRADESH,MUZAFFARNAGAR,,,,,
9,173,671,UTTAR PRADESH,PILIBHIT,,,,,
9,174,672,UTTAR PRADESH,PRATAPGARH,,,,,
9,175,673,UTTAR PRADESH,RAI BARELY,,,,,
9,176,674,UTTAR PRADESH,RAMPUR,,,,,
9,177,675,UTTAR PRADESH,SAHARANPUR,,,,,
9,659,676,UTTAR PRADESH,SAMBHAL(Bheem Nagar),,,,,
9,178,677,UTTAR PRADESH,SANT KABIR NAGAR,,,,,
9,179,678,UTTAR PRADESH,SANT RAVIDAS NAGAR,,,,,
9,180,679,UTTAR PRADESH,SHAHJAHANPUR,,,,,
9,660,680,UTTAR PRADESH,SHAMLI,,,,,
9,181,681,UTTAR PRADESH,SHRAVASTI,,,,,
9,182,682,UTTAR PRADESH,SIDDHARTHNAGAR,,,,,
9,183,683,UTTAR PRADESH,SITAPUR,,,,,
9,184,684,UTTAR PRADESH,SONBHADRA,,,,,
9,185,685,UTTAR PRADESH,SULTANPUR,,,,,
9,186,686,UTTAR PRADESH,UNNAO,,,,,
9,187,687,UTTAR PRADESH,VARANASI,,,,,
5,45,688,UTTARAKHAND,ALMORA,,,,,
5,46,689,UTTARAKHAND,BAGESHWAR,,,,,
5,47,690,UTTARAKHAND,CHAMOLI,,,,,
5,48,691,UTTARAKHAND,CHAMPAWAT,,,,,
5,49,692,UTTARAKHAND,DEHRADUN,,,,,
5,50,693,UTTARAKHAND,HARIDWAR,,,,,
5,51,694,UTTARAKHAND,NAINITAL,,,,,
5,52,695,UTTARAKHAND,PAURI GARHWAL,,,,,
5,53,696,UTTARAKHAND,PITHORAGARH,,,,,
5,54,697,UTTARAKHAND,RUDRAPRAYAG,,,,,
5,55,698,UTTARAKHAND,TEHRI GARHWAL,,,,,
5,56,699,UTTARAKHAND,UDHAM SINGH NAGAR,,,,,
5,57,700,UTTARAKHAND,UTTARKASHI,,,,,
19,664,701,WEST BENGAL,ALIPURDUAR,,,,,
19,305,702,WEST BENGAL,BANKURA,,,,,
19,306,703,WEST BENGAL,BARDHAMAN,,,,,
19,307,704,WEST BENGAL,BIRBHUM,,,,,
19,308,705,WEST BENGAL,COOCHBEHAR,,,,,
19,310,706,WEST BENGAL,DAKSHIN DINAJPUR,,,,,
19,309,707,WEST BENGAL,DARJEELING,,,,,
19,317,708,WEST BENGAL,EAST MEDINIPUR,,,,,
19,312,709,WEST BENGAL,HOOGHLY,,,,,
19,313,710,WEST BENGAL,HOWRAH,,,,,
19,314,711,WEST BENGAL,JALPAIGURI,,,,,
19,703,712,WEST BENGAL,Jhargram,,,,,
19,702,713,WEST BENGAL,KALIMPONG,,,,,
19,315,714,WEST BENGAL,KOLKOTA,,,,,
19,316,715,WEST BENGAL,MALDA,,,,,
19,319,716,WEST BENGAL,MURSHIDABAD,,,,,
19,303,717,WEST BENGAL,N. 24- PRAGANAS,,,,,
19,320,718,WEST BENGAL,NADIA,,,,,
19,704,719,WEST BENGAL,PASCHIM BARDHAMAN,,,,,
19,321,720,WEST BENGAL,PURULIA,,,,,
19,304,721,WEST BENGAL,SOUTH 24-PRAGANAS,,,,,
19,311,722,WEST BENGAL,UTTAR DINAJPUR,,,,,
19,318,723,WEST BENGAL,WEST MEDINIPUR,,,,,
